file,id,label,field,status,english,before,current,after,applied,selected,issues
Multiplayer.dbt,10287,_MP_LOBBY_SYNC_LOCAL,chinese,已翻译,Local settings differ from host,本地设置与房主不同,本地设置与房主不同,本地设置与房主不同,yes,no,
Multiplayer.dbt,10288,_MP_LOBBY_SYNC_BLOCK,chinese,已翻译,Cannot start: lobby settings are still syncing.,无法开始: 房间设置还在同步。,无法开始: 房间设置还在同步。,无法开始: 房间设置还在同步。,yes,no,
Multiplayer.dbt,10289,_MP_LOBBY_BTN_SHARE_SAVE,chinese,已翻译,Share Save,分享存档,分享存档,分享存档,yes,no,
Multiplayer.dbt,10290,_MP_LOBBY_MIDJOIN_DISABLED,chinese,已翻译,Mid-game join is currently disabled (unstable).,目前禁止中途加入(不稳定)。,目前禁止中途加入(不稳定)。,目前禁止中途加入(不稳定)。,yes,no,
Multiplayer.dbt,10292,_MP_LOBBY_NO_CLASS_ALLOWED,chinese,已翻译,At least one character class must be allowed to start the game.,至少必须允许一个角色职业才能开始游戏。,至少必须允许一个角色职业才能开始游戏。,至少必须允许一个角色职业才能开始游戏。,yes,no,
Multiplayer.dbt,10293,_MP_LOBBY_SAVE_DYN_HEADER,chinese,已翻译,Player dynasties in this save:,此存档中的玩家世家:,此存档中的玩家世家:,此存档中的玩家世家:,yes,no,
Multiplayer.dbt,10294,_MP_LOBBY_SAVE_DYN_NONE,chinese,已翻译,(no player dynasty info recorded in this save),(此存档没有记录玩家世家信息),(此存档没有记录玩家世家信息),(此存档没有记录玩家世家信息),yes,no,
Multiplayer.dbt,10295,_MP_SYS_SAVE_SELECTION_CANCELLED,chinese,已翻译,Save game selection cancelled,已取消选择存档,已取消选择存档,已取消选择存档,yes,no,
Multiplayer.dbt,10296,_MP_OVERVIEW_TITLE,chinese,已翻译,Steam Multiplayer,Steam 多人模式,Steam 多人模式,Steam 多人模式,yes,no,
Multiplayer.dbt,10297,_MP_OVERVIEW_COL_PLAYER,chinese,已翻译,Player,玩家,玩家,玩家,yes,no,
Multiplayer.dbt,10298,_MP_OVERVIEW_COL_ASSETS,chinese,已翻译,Assets,资产,资产,资产,yes,no,
Multiplayer.dbt,10299,_MP_OVERVIEW_COL_PING,chinese,已翻译,Ping,延迟,延迟,延迟,yes,no,
Multiplayer.dbt,10300,_MP_OVERVIEW_COL_FAMILY,chinese,已翻译,Active Family,当前家族,当前家族,当前家族,yes,no,
Multiplayer.dbt,10301,_MP_OVERVIEW_ROLE_HOST,chinese,已翻译,Host,主机,主机,主机,yes,no,
Multiplayer.dbt,10302,_MP_OVERVIEW_ROLE_YOU,chinese,已翻译,You,你,你,你,yes,no,
Multiplayer.dbt,10303,_MP_OVERVIEW_ROLE_CLIENT,chinese,已翻译,Client,客户端,客户端,客户端,yes,no,
Multiplayer.dbt,10304,_MP_OVERVIEW_UNKNOWN_PLAYER,chinese,已翻译,Player,玩家,玩家,玩家,yes,no,
Multiplayer.dbt,10305,_MP_OVERVIEW_NO_PLAYERS,chinese,已翻译,No Steam players found.,未找到 Steam 玩家。,未找到 Steam 玩家。,未找到 Steam 玩家。,yes,no,
Multiplayer.dbt,10307,_MP_LOBBY_ADV_MARKETITEMS,chinese,已翻译,Market starting goods,市场初始商品,市场初始商品,市场初始商品,yes,no,
Multiplayer.dbt,10308,_MP_LOBBY_ADV_PLEVEL,chinese,已翻译,Player start level,玩家初始等级,玩家初始等级,玩家初始等级,yes,no,
Multiplayer.dbt,10309,_MP_LOBBY_ADV_ALEVEL,chinese,已翻译,AI start level,AI 初始等级,AI 初始等级,AI 初始等级,yes,no,
Multiplayer.dbt,10313,_MP_LOBBY_ADV_AITARGET,chinese,已翻译,AI targets players,AI 以玩家为目标,AI 以玩家为目标,AI 以玩家为目标,yes,no,
Multiplayer.dbt,10315,_MP_LOBBY_ADV_AITRUCE,chinese,已翻译,AI truce (rounds),AI 休战(回合),AI 休战(回合),AI 休战(回合),yes,no,
Multiplayer.dbt,10317,_MP_LOBBY_ADV_TIP_PMONEY,chinese,已翻译,Starting gold for every player dynasty.,每个玩家世家的初始金钱。,每个玩家世家的初始金钱。,每个玩家世家的初始金钱。,yes,no,
Multiplayer.dbt,10318,_MP_LOBBY_ADV_TIP_AMONEY,chinese,已翻译,Starting gold for every AI dynasty.,每个 AI 世家的初始金钱。,每个 AI 世家的初始金钱。,每个 AI 世家的初始金钱。,yes,no,
Multiplayer.dbt,10319,_MP_LOBBY_ADV_TIP_PTITLE,chinese,已翻译,Nobility title every player starts with.,每个玩家开始时的贵族头衔。,每个玩家开始时的贵族头衔。,每个玩家开始时的贵族头衔。,yes,no,
Multiplayer.dbt,10320,_MP_LOBBY_ADV_TIP_ATITLE,chinese,已翻译,Nobility title every AI dynasty starts with.,每个 AI 世家开始时的贵族头衔。,每个 AI 世家开始时的贵族头衔。,每个 AI 世家开始时的贵族头衔。,yes,no,
Multiplayer.dbt,10321,_MP_LOBBY_ADV_TIP_CLASSES,chinese,已翻译,Click a class to forbid or allow it. Forbidden classes cannot be picked at character creation.,点击职业以禁止或允许。被禁止的职业无法在创建角色时选择。,点击职业以禁止或允许。被禁止的职业无法在创建角色时选择。,点击职业以禁止或允许。被禁止的职业无法在创建角色时选择。,yes,no,
Multiplayer.dbt,10322,_MP_LOBBY_ADV_TIP_PRES,chinese,已翻译,Buildings every player dynasty starts the game with.,每个玩家世家开始游戏时拥有的建筑物。,每个玩家世家开始游戏时拥有的建筑物。,每个玩家世家开始游戏时拥有的建筑物。,yes,no,
Multiplayer.dbt,10323,_MP_LOBBY_ADV_TIP_ARES,chinese,已翻译,Buildings every AI dynasty starts the game with.,每个 AI 世家开始游戏时拥有的建筑物。,每个 AI 世家开始游戏时拥有的建筑物。,每个 AI 世家开始游戏时拥有的建筑物。,yes,no,
Multiplayer.dbt,10324,_MP_LOBBY_ADV_TIP_MARKET,chinese,已翻译,How well stocked the town markets are at game start.,游戏开始时城镇市场的库存量。,游戏开始时城镇市场的库存量。,游戏开始时城镇市场的库存量。,yes,no,
Multiplayer.dbt,10325,_MP_LOBBY_ADV_TIP_PLEVEL,chinese,已翻译,Character level every player's first character starts with. Each level grants skill points to spend.,每个玩家的第一个角色开始时的等级。每个等级都会提供可分配的技能点。,每个玩家的第一个角色开始时的等级。每个等级都会提供可分配的技能点。,每个玩家的第一个角色开始时的等级。每个等级都会提供可分配的技能点。,yes,no,
Multiplayer.dbt,10326,_MP_LOBBY_ADV_TIP_ALEVEL,chinese,已翻译,Character level the leaders of AI dynasties start with.,AI 世家首领开始时的角色等级。,AI 世家首领开始时的角色等级。,AI 世家首领开始时的角色等级。,yes,no,
Tables.dbt,1,,name,已翻译,Text,文本,文本,文本,yes,no,
Tables.dbt,2,,name,已翻译,Achievements,成就,成就,成就,yes,no,
Tables.dbt,3,,name,已翻译,Multiplayer,多人模式,多人模式,多人模式,yes,no,
TipLabels.dbt,1,_TIP_BUILDING_PRICE_LABEL_+0,english,已翻译,Price:,价格:,价格:,价格:,yes,no,
TipLabels.dbt,2,_TIP_BUILDING_LEVEL_LABEL_+0,english,已翻译,Level:,等级:,等级:,等级:,yes,no,
TipLabels.dbt,4,_TIP_BUILDING_HP_UNIT_+0,english,已翻译,HP,生命值,生命值,生命值,yes,no,
TipLabels.dbt,5,_TIP_TITLE_PRICE_LABEL_+0,english,已翻译,Price:,价格:,价格:,价格:,yes,no,
TipLabels.dbt,6,_TIP_TITLE_IMPFAME_LABEL_+0,english,已翻译,Imperial fame required:,需要国家名声:,需要国家名声:,需要国家名声:,yes,no,
TipLabels.dbt,9,_TIP_PENALTY_SEVERITY_LABEL_+0,english,已翻译,Severity:,判决严峻度:,判决严峻度:,判决严峻度:,yes,no,
TipLabels.dbt,11,_TIP_LAW_EVIDENCE_+0,english,已翻译,Counts as evidence in court,在法院中视为证据,在法院中视为证据,在法院中视为证据,yes,no,
TipLabels.dbt,12,_TIP_LAW_DURATION_LABEL_+0,english,已翻译,Duration:,有效时间:,有效时间:,有效时间:,yes,no,
TipLabels.dbt,13,_TIP_LAW_DURATION_UNIT_+0,english,已翻译,days,天,天,天,yes,no,
TipLabels.dbt,14,_TIP_ABILITY_SKILLREQ_LABEL_+0,english,已翻译,Requires skill:,需要技能:,需要技能:,需要技能:,yes,no,
TipLabels.dbt,15,_TIP_ABILITY_SKILLREQ_LEVEL_+0,english,已翻译,level,等级,等级,等级,yes,no,
TipLabels.dbt,16,_TIP_ABILITY_MINLEVEL_LABEL_+0,english,已翻译,Minimum character level:,最小角色等级:,最小角色等级:,最小角色等级:,yes,no,
TipLabels.dbt,18,_TIP_OFFICE_LEVEL_LABEL_+0,english,已翻译,Requires settlement level,需要拓居地等级,需要拓居地等级,需要拓居地等级,yes,no,
TipLabels.dbt,19,_TIP_OFFICE_LEVEL_AT_LEVEL_+0,english,已翻译,is at level,等级为,等级为,等级为,yes,no,
TipLabels.dbt,20,_TIP_OFFICE_LEVEL_ONLY_LEVEL_+0,english,已翻译,is only level,只有等级,只有等级,只有等级,yes,no,
TipLabels.dbt,21,_TIP_OFFICE_LEVEL_NOT_YET_+0,english,已翻译,not yet available,尚未可用,尚未可用,尚未可用,yes,no,
TipLabels.dbt,22,_TIP_OFFICE_INCOME_LABEL_+0,english,已翻译,Income:,收入：,收入：,收入：,yes,no,
TipLabels.dbt,23,_TIP_OFFICE_REPLACED_BY_PREFIX_+0,english,已翻译,Not at this settlement tier -,不在此拓居地等级 -,不在此拓居地等级 -,不在此拓居地等级 -,yes,no,
TipLabels.dbt,24,_TIP_OFFICE_REPLACED_BY_USES_+0,english,已翻译,uses,使用,使用,使用,yes,no,
TipLabels.dbt,25,_TIP_OFFICE_REPLACED_BY_SUFFIX_+0,english,已翻译,instead,替代,替代,替代,yes,no,
TipLabels.dbt,27,_TIP_OFFICE_NOT_APPLICABLE_PREFIX_+0,english,已翻译,Not applicable at this settlement tier,不适用于此拓居地等级,不适用于此拓居地等级,不适用于此拓居地等级,yes,no,
TipLabels.dbt,29,_TIP_UPGRADE_PRODUCES_LABEL_+0,english,已翻译,Produces:,生产:,生产:,生产:,yes,no,
TipLabels.dbt,30,_TIP_UPGRADE_GRANTS_MEASURE_LABEL_+0,english,已翻译,Grants measure:,授予行动:,授予行动:,授予行动:,yes,no,
TipLabels.dbt,31,_TIP_NAV_JUMP_PREFIX_+0,english,已翻译,Press F to jump to,按 F 切换画面到,按 F 切换画面到,按 F 切换画面到,yes,no,
TipLabels.dbt,32,_TIP_NAV_CYCLE_+0,english,已翻译,Press Page Up / Page Down to cycle settlements,按 Page Up / Page Down 切换拓居地,按 Page Up / Page Down 切换拓居地,按 Page Up / Page Down 切换拓居地,yes,no,
Text.dbt,16544,_TIP_OFFICE_LEVEL_NOCTX_+0,chinese,已翻译,Requires settlement level %d,需要拓居地等级 %d,需要拓居地等级 %d,需要拓居地等级 %d,yes,no,
Text.dbt,16545,_TIP_OFFICE_LEVEL_MET_+0,chinese,已翻译,Requires settlement level %d - %s is at level %d,需要拓居地等级 %d - %s 等级为 %d,需要拓居地等级 %d - %s 等级为 %d,需要拓居地等级 %d - %s 等级为 %d,yes,no,
Text.dbt,16546,_TIP_OFFICE_LEVEL_UNMET_+0,chinese,已翻译,Requires settlement level %d - %s is only level %d (not yet available),需要拓居地等级 %d - %s 只有等级 %d (尚未可用),需要拓居地等级 %d - %s 只有等级 %d (尚未可用),需要拓居地等级 %d - %s 只有等级 %d (尚未可用),yes,no,
Text.dbt,16547,_TIP_OFFICE_INCOME_+0,chinese,已翻译,Income: %d,收入：%d,收入：%d,收入：%d,yes,no,
Text.dbt,16548,_TIP_OFFICE_HELD_BY_+0,chinese,已翻译,Currently held by: %s,当前由以下角色担任: %s,当前由以下角色担任: %s,当前由以下角色担任: %s,yes,no,
Text.dbt,16549,_TIP_OFFICE_VACANT_+0,chinese,已翻译,Currently vacant in %s,%s 当前有空缺,%s 当前有空缺,%s 当前有空缺,yes,no,
Text.dbt,16550,_TIP_UPGRADE_PRODUCES_+0,chinese,已翻译,Produces: %s,生产: %s,生产: %s,生产: %s,yes,no,
Text.dbt,16551,_TIP_UPGRADE_GRANTS_MEASURE_+0,chinese,已翻译,Grants measure: %s,授予行动: %s,授予行动: %s,授予行动: %s,yes,no,
Text.dbt,16552,_TIP_NAV_JUMP_+0,chinese,已翻译,Press F to jump to %s,按 F 切换画面到 %s,按 F 切换画面到 %s,按 F 切换画面到 %s,yes,no,
Text.dbt,16553,_TIP_NAV_CYCLE_+0,chinese,已翻译,Press Page Up / Page Down to cycle settlements,按 Page Up / Page Down 切换拓居地,按 Page Up / Page Down 切换拓居地,按 Page Up / Page Down 切换拓居地,yes,no,
Text.dbt,16555,_TIP_TITLE_PRICE_+0,chinese,已翻译,Price: %d,价格: %d,价格: %d,价格: %d,yes,no,
Text.dbt,16556,_TIP_TITLE_IMPFAME_+0,chinese,已翻译,Imperial fame required: %d,需要国家名声: %d,需要国家名声: %d,需要国家名声: %d,yes,no,
Text.dbt,16560,_TIP_LAW_EVIDENCE_+0,chinese,已翻译,Counts as evidence in court,在法院中视为证据,在法院中视为证据,在法院中视为证据,yes,no,
Text.dbt,16561,_TIP_LAW_DURATION_+0,chinese,已翻译,Duration: %.0f days,有效时间: %.0f 天,有效时间: %.0f 天,有效时间: %.0f 天,yes,no,
Text.dbt,16562,_TIP_ABILITY_SKILLREQ_+0,chinese,已翻译,Requires skill: %s level %d,需要技能: %s 等级 %d,需要技能: %s 等级 %d,需要技能: %s 等级 %d,yes,no,
Text.dbt,16563,_TIP_ABILITY_MINLEVEL_+0,chinese,已翻译,Minimum character level: %d,最小角色等级: %d,最小角色等级: %d,最小角色等级: %d,yes,no,
Text.dbt,16567,_TIP_BUILDING_PRICE_+0,chinese,已翻译,Price: %d,价格: %d,价格: %d,价格: %d,yes,no,
Text.dbt,16569,_TIP_BUILDING_LEVEL_+0,chinese,已翻译,Level: %d,等级: %d,等级: %d,等级: %d,yes,no,
Text.dbt,16571,PENALTY_FINE,chinese,已翻译,Fine,罚款,罚款,罚款,yes,no,
Text.dbt,16574,_BUILDBUILDING_OFFICE_+0,chinese,已翻译,Office,公职,公职,公职,yes,no,
Text.dbt,16575,_BUILDBUILDING_OFFICE_COUNT_+0,chinese,已翻译,%1n / %2n max in this settlement,%1n / %2n 此拓居地最多,%1n / %2n 此拓居地最多,%1n / %2n 此拓居地最多,yes,no,
Text.dbt,16576,_BUILDBUILDING_OFFICE_LOCKED_+0,chinese,已翻译,Not available at this settlement tier,不适用于此拓居地等级,不适用于此拓居地等级,不适用于此拓居地等级,yes,no,
Text.dbt,16577,_MEASURE_ToggleCityNeeds_NAME_+0,chinese,已翻译,City Needs,城市需求,城市需求,城市需求,yes,no,
Text.dbt,16579,CityNeedsSheet_+0,chinese,已翻译,City Needs,城市需求,城市需求,城市需求,yes,no,
Text.dbt,16580,_CITYNEEDS_TITLE,chinese,已翻译,City Needs,城市需求,城市需求,城市需求,yes,no,
Text.dbt,16582,_CITYNEEDS_CLOSE,chinese,已翻译,Close,关闭,关闭,关闭,yes,no,
Text.dbt,16584,_CITYNEEDS_CAT_FOOD,chinese,已翻译,Food,食物,食物,食物,yes,no,
Text.dbt,16585,_CITYNEEDS_CAT_AMUSEMENT,chinese,已翻译,Amusement,娱乐,娱乐,娱乐,yes,no,
Text.dbt,16586,_CITYNEEDS_CAT_CLOTHES,chinese,已翻译,Clothes,衣服,衣服,衣服,yes,no,
Text.dbt,16587,_CITYNEEDS_CAT_WEAPON,chinese,已翻译,Weapon,武器,武器,武器,yes,no,
Text.dbt,16588,_CITYNEEDS_CAT_ARMOR,chinese,已翻译,Armor,防具,防具,防具,yes,no,
Text.dbt,16589,_CITYNEEDS_CAT_ILLNESS,chinese,已翻译,Healthcare,健康,健康,健康,yes,no,
Text.dbt,16590,_CITYNEEDS_CAT_SPECIAL,chinese,已翻译,Special,特殊,特殊,特殊,yes,no,
Text.dbt,16591,_CITYNEEDS_CAT_LUXORY,chinese,已翻译,Luxury,奢侈品,奢侈品,奢侈品,yes,no,
Text.dbt,16592,_CITYNEEDS_CAT_SOCIAL,chinese,已翻译,Social,社会的,社会的,社会的,yes,no,
Text.dbt,16593,_CITYNEEDS_CAT_REPAIR,chinese,已翻译,Repair,修理,修理,修理,yes,no,
Text.dbt,16594,_CITYNEEDS_COL_ITEM,chinese,已翻译,Item,物品,物品,物品,yes,no,
Text.dbt,16595,_CITYNEEDS_COL_CATEGORY,chinese,已翻译,Category,类别,类别,类别,yes,no,
Text.dbt,16596,_CITYNEEDS_COL_DEMAND,chinese,已翻译,Demand,需求,需求,需求,yes,no,
Text.dbt,16597,_CITYNEEDS_COL_STOCK,chinese,已翻译,Stock,库存,库存,库存,yes,no,
Text.dbt,16598,_CITYNEEDS_COL_PRICE,chinese,已翻译,Price,价格,价格,价格,yes,no,
Text.dbt,16600,_CITYNEEDS_CAT_RESOURCE,chinese,已翻译,Resource,资源,资源,资源,yes,no,
Text.dbt,16601,_CITYNEEDS_CAT_GATHERING,chinese,已翻译,Raw material,原料,原料,原料,yes,no,
Text.dbt,16603,_CITYNEEDS_CAT_OTHER,chinese,已翻译,Other,其它,其它,其它,yes,no,
Text.dbt,16604,_CITYNEEDS_FILTER_ALL,chinese,已翻译,All,全部,全部,全部,yes,no,
Text.dbt,16605,_CITYNEEDS_FILTER_RES,chinese,已翻译,Resources,资源,资源,资源,yes,no,
Text.dbt,16608,_CITYNEEDS_COL_BUY,chinese,已翻译,Buy,买,买,买,yes,no,
Text.dbt,16609,_CITYNEEDS_COL_SELL,chinese,已翻译,Sell,卖,卖,卖,yes,no,
Text.dbt,16611,_CITYNEEDS_COL_SHORTAGE,chinese,已翻译,Status,状态,状态,状态,yes,no,
Text.dbt,16612,_CITYNEEDS_COL_REVENUE,chinese,已翻译,Revenue,收入,收入,收入,yes,no,
Text.dbt,16613,_CITYNEEDS_RANK_DESTITUTE,chinese,已翻译,Destitute,一贫如洗,一贫如洗,一贫如洗,yes,no,
Text.dbt,16616,_CITYNEEDS_RANK_RICH,chinese,已翻译,Rich,富裕,富裕,富裕,yes,no,
Text.dbt,16620,_CITYNEEDS_STATUS_LOW,chinese,已翻译,low,低,低,低,yes,no,
Text.dbt,16621,_CITYNEEDS_STATUS_OK,chinese,已翻译,ok,正常,正常,正常,yes,no,
Text.dbt,16623,_CITYNEEDS_PANEL_TITLE,chinese,已翻译,City Needs,城市需求,城市需求,城市需求,yes,no,
Text.dbt,16624,_CITYNEEDS_TITLE_FOR_CITY,chinese,已翻译,City Needs - %s,城市需求 - %s,城市需求 - %s,城市需求 - %s,yes,no,
Text.dbt,16643,_CITYNEEDS_CAT_USEABLE,chinese,已翻译,Useable,可用,可用,可用,yes,no,
Text.dbt,16644,_CITYNEEDS_CAT_SUPPLY,chinese,已翻译,Supply,补给,补给,补给,yes,no,
Text.dbt,16645,_CITYNEEDS_CAT_ARTIFACT,chinese,已翻译,Artifact,道具,道具,道具,yes,no,
Text.dbt,16646,_CITYNEEDS_CAT_ANIMAL,chinese,已翻译,Animal,动物,动物,动物,yes,no,
Text.dbt,16648,_CITYNEEDS_CAT_QUEST,chinese,已翻译,Quest,任务,任务,任务,yes,no,
Text.dbt,16704,_MP_UNSTUCK_CANCEL_BTN,chinese,已翻译,Cancel,取消,取消,取消,yes,no,
Text.dbt,16709,_MP_UNSTUCK_DENY_BTN,chinese,已翻译,Deny,拒绝,拒绝,拒绝,yes,no,
Text.dbt,16714,_MP_SAVE_PLAYERS_HEADER,chinese,已翻译,Player dynasties in this save:,此存档中的玩家世家:,此存档中的玩家世家:,此存档中的玩家世家:,yes,no,
Text.dbt,16715,_MP_SAVE_PLAYERS_NONE,chinese,已翻译,(no player dynasty info recorded in this save),(此存档没有记录玩家世家信息),(此存档没有记录玩家世家信息),(此存档没有记录玩家世家信息),yes,no,
Text.dbt,16719,_CITYNEEDS_SEARCH,chinese,已翻译,Search:,搜索:,搜索:,搜索:,yes,no,
Text.dbt,16725,_TOOLTIP_FORSALE,chinese,已翻译,Available for purchase:,可购买:,可购买:,可购买:,yes,no,
Text.dbt,16744,_KR_BTN_CANCEL_+0,chinese,已翻译,Cancel,取消,取消,取消,yes,no,
Text.dbt,16745,_KR_BTN_OK_+0,chinese,已翻译,OK,确认,确认,确认,yes,no,
Text.dbt,16760,_KR_CAT_1_+0,chinese,已翻译,Resources,资源,资源,资源,yes,no,
Text.dbt,16761,_KR_CAT_2_+0,chinese,已翻译,Food,食物,食物,食物,yes,no,
Text.dbt,16762,_KR_CAT_3_+0,chinese,已翻译,Arms & Smithwork,武器与铁匠制品,武器与铁匠制品,武器与铁匠制品,yes,no,
Text.dbt,16763,_KR_CAT_4_+0,chinese,已翻译,Textiles,纺织品,纺织品,纺织品,yes,no,
Text.dbt,16764,_KR_CAT_5_+0,chinese,已翻译,Alchemy,炼金术,炼金术,炼金术,yes,no,
Text.dbt,16765,_KR_CAT_7_+0,chinese,已翻译,Handicrafts,手艺,手艺,手艺,yes,no,
Text.dbt,16766,_KR_LORD_1_+0,chinese,已翻译,the Netherlands,荷兰,荷兰,荷兰,yes,no,
Text.dbt,16767,_KR_LORD_2_+0,chinese,已翻译,the Hansa,汉萨,汉萨,汉萨,yes,no,
Text.dbt,16768,_KR_LORD_3_+0,chinese,已翻译,Germany,德意志,德意志,德意志,yes,no,
Text.dbt,16769,_KR_LORD_4_+0,chinese,已翻译,Austria,奥地利,奥地利,奥地利,yes,no,
Text.dbt,16770,_KR_LORD_5_+0,chinese,已翻译,Hungary,匈牙利,匈牙利,匈牙利,yes,no,
Text.dbt,16771,_KR_LORD_6_+0,chinese,已翻译,Dragenthal,德拉根瑟尔,德拉根瑟尔,德拉根瑟尔,yes,no,
Text.dbt,16772,_KR_LORD_7_+0,chinese,已翻译,France,法兰西,法兰西,法兰西,yes,no,
Text.dbt,16773,_KR_LORD_8_+0,chinese,已翻译,England,英格兰,英格兰,英格兰,yes,no,
Tooltips.dbt,1,GOLD,title,已翻译,Gold,金,金,金,yes,no,
Tooltips.dbt,8,ALDERMAN,title,已翻译,Alderman,议员,议员,议员,yes,no,
Tooltips.dbt,12,DYNASTY,title,已翻译,Dynasty,世家,世家,世家,yes,no,
Tooltips.dbt,15,EVIDENCE,title,已翻译,Evidence,证据,证据,证据,yes,no,
Tooltips.dbt,21,APPRENTICE,title,已翻译,Apprentice,学徒,学徒,学徒,yes,no,
Tooltips.dbt,27,BLACK_DEATH,title,已翻译,Black Death,黑死病,黑死病,黑死病,yes,no,
Tooltips.dbt,31,IMMUNITY,title,已翻译,Immunity,免诉权,免诉权,免诉权,yes,no,
Tooltips.dbt,32,BRIBERY,title,已翻译,Bribery,贿赂,贿赂,贿赂,yes,no,
Tooltips.dbt,33,SABOTAGE,title,已翻译,Sabotage,破坏,破坏,破坏,yes,no,
Tooltips.dbt,34,ESPIONAGE,title,已翻译,Espionage,间谍,间谍,间谍,yes,no,
Tooltips.dbt,39,MARRIAGE,title,已翻译,Marriage,结婚,结婚,结婚,yes,no,
Tooltips.dbt,42,CRUSADE,title,已翻译,Crusade,十字军圣战,十字军圣战,十字军圣战,yes,no,
Tooltips.dbt,298,HOSPITAL,title,已翻译,Hospital,医疗所,医疗所,医疗所,yes,no,
Tooltips.dbt,299,BANK,title,已翻译,Bank,银行,银行,银行,yes,no,
Tooltips.dbt,304,FARM,title,已翻译,Farm,农场,农场,农场,yes,no,
Tooltips.dbt,305,TAVERN,title,已翻译,Tavern,小客栈,小客栈,小客栈,yes,no,
Tooltips.dbt,309,BUILDING,title,已翻译,Building,建筑物,建筑物,建筑物,yes,no,
Tooltips.dbt,310,CITY,title,已翻译,City,城市,城市,城市,yes,no,
Tooltips.dbt,313,WOOL,title,已翻译,Wool,羊毛,羊毛,羊毛,yes,no,
Tooltips.dbt,323,LEVEL,title,已翻译,Level,等级,等级,等级,yes,no,
Tooltips.dbt,326,CHARISMA,title,已翻译,Charisma,魅力,魅力,魅力,yes,no,
Tooltips.dbt,327,RHETORIC,title,已翻译,Rhetoric,口才,口才,口才,yes,no,
Tooltips.dbt,328,EMPATHY,title,已翻译,Empathy,洞察力,洞察力,洞察力,yes,no,
Tooltips.dbt,329,WORKER,title,已翻译,Worker,工人,工人,工人,yes,no,
Tooltips.dbt,330,DOCTOR,title,已翻译,Doctor,医生,医生,医生,yes,no,
Tooltips.dbt,331,ALCHEMIST,title,已翻译,Alchemist,炼金术士,炼金术士,炼金术士,yes,no,
Tooltips.dbt,332,SCHOLAR,title,已翻译,Scholar,学者,学者,学者,yes,no,
Tooltips.dbt,334,ROBBER,title,已翻译,Robber,强盗,强盗,强盗,yes,no,
Tooltips.dbt,336,JUGGLER,title,已翻译,Juggler,骗子,骗子,骗子,yes,no,
Tooltips.dbt,337,BARD,title,已翻译,Bard,诗人,诗人,诗人,yes,no,
